name	indicator	date	value
AFG	SE.XPD.CTOT.ZS	2015	80.40733
AFG	SE.XPD.CTOT.ZS	2014	80.69691
AFG	SE.XPD.CTOT.ZS	2013	81.148
AFG	SE.XPD.CTOT.ZS	2012	84.92229
AFG	SE.XPD.CTOT.ZS	2011	82.62509
AFG	SE.XPD.CTOT.ZS	2010	81.68142
AFG	SE.XPD.CTOT.ZS	2009	
BGD	SE.XPD.CTOT.ZS	2018	
BGD	SE.XPD.CTOT.ZS	2017	
BGD	SE.XPD.CTOT.ZS	2016	85.81731
BGD	SE.XPD.CTOT.ZS	2015	
BGD	SE.XPD.CTOT.ZS	2014	
BGD	SE.XPD.CTOT.ZS	2013	
BGD	SE.XPD.CTOT.ZS	2012	99.46163
BGD	SE.XPD.CTOT.ZS	2011	99.4854
BGD	SE.XPD.CTOT.ZS	2010	
BGD	SE.XPD.CTOT.ZS	2009	80.98143
BTN	SE.XPD.CTOT.ZS	2018	
BTN	SE.XPD.CTOT.ZS	2017	
BTN	SE.XPD.CTOT.ZS	2016	
BTN	SE.XPD.CTOT.ZS	2015	85.99127
BTN	SE.XPD.CTOT.ZS	2014	
BTN	SE.XPD.CTOT.ZS	2013	
BTN	SE.XPD.CTOT.ZS	2012	
BTN	SE.XPD.CTOT.ZS	2011	
BTN	SE.XPD.CTOT.ZS	2010	
BTN	SE.XPD.CTOT.ZS	2009	
IND	SE.XPD.CTOT.ZS	2018	
IND	SE.XPD.CTOT.ZS	2017	
IND	SE.XPD.CTOT.ZS	2016	
IND	SE.XPD.CTOT.ZS	2015	
IND	SE.XPD.CTOT.ZS	2014	
IND	SE.XPD.CTOT.ZS	2013	
IND	SE.XPD.CTOT.ZS	2012	
IND	SE.XPD.CTOT.ZS	2011	
IND	SE.XPD.CTOT.ZS	2010	
IND	SE.XPD.CTOT.ZS	2009	
LKA	SE.XPD.CTOT.ZS	2018	74.65514
LKA	SE.XPD.CTOT.ZS	2017	80.00249
LKA	SE.XPD.CTOT.ZS	2016	71.01222
LKA	SE.XPD.CTOT.ZS	2015	80.72923
LKA	SE.XPD.CTOT.ZS	2014	80.24087
LKA	SE.XPD.CTOT.ZS	2013	78.28994
LKA	SE.XPD.CTOT.ZS	2012	81.40799
LKA	SE.XPD.CTOT.ZS	2011	83.20235
LKA	SE.XPD.CTOT.ZS	2010	85.44089
LKA	SE.XPD.CTOT.ZS	2009	90.85593
MDV	SE.XPD.CTOT.ZS	2018	
MDV	SE.XPD.CTOT.ZS	2017	
MDV	SE.XPD.CTOT.ZS	2016	99.27962
MDV	SE.XPD.CTOT.ZS	2015	99.03861
MDV	SE.XPD.CTOT.ZS	2014	99.28945
MDV	SE.XPD.CTOT.ZS	2013	99.37706
MDV	SE.XPD.CTOT.ZS	2012	98.7974
MDV	SE.XPD.CTOT.ZS	2011	98.58809
MDV	SE.XPD.CTOT.ZS	2010	98.75104
MDV	SE.XPD.CTOT.ZS	2009	99.74055
NPL	SE.XPD.CTOT.ZS	2018	
NPL	SE.XPD.CTOT.ZS	2017	
NPL	SE.XPD.CTOT.ZS	2016	
NPL	SE.XPD.CTOT.ZS	2015	89.02563
NPL	SE.XPD.CTOT.ZS	2014	87.32729
NPL	SE.XPD.CTOT.ZS	2013	87.91923
NPL	SE.XPD.CTOT.ZS	2012	86.51662
NPL	SE.XPD.CTOT.ZS	2011	86.12255
NPL	SE.XPD.CTOT.ZS	2010	87.1687
NPL	SE.XPD.CTOT.ZS	2009	
PAK	SE.XPD.CTOT.ZS	2018	
PAK	SE.XPD.CTOT.ZS	2017	
PAK	SE.XPD.CTOT.ZS	2016	
PAK	SE.XPD.CTOT.ZS	2015	
PAK	SE.XPD.CTOT.ZS	2014	
PAK	SE.XPD.CTOT.ZS	2013	75.43501
PAK	SE.XPD.CTOT.ZS	2012	
PAK	SE.XPD.CTOT.ZS	2011	
PAK	SE.XPD.CTOT.ZS	2010	
PAK	SE.XPD.CTOT.ZS	2009	
AFG	SH.XPD.CHEX.GD.ZS	2018	
AFG	SH.XPD.CHEX.GD.ZS	2017	
AFG	SH.XPD.CHEX.GD.ZS	2016	10.19867734
AFG	SH.XPD.CHEX.GD.ZS	2015	10.09395812
AFG	SH.XPD.CHEX.GD.ZS	2014	9.52887835
AFG	SH.XPD.CHEX.GD.ZS	2013	8.8059641
AFG	SH.XPD.CHEX.GD.ZS	2012	7.89716844
AFG	SH.XPD.CHEX.GD.ZS	2011	8.56190731
AFG	SH.XPD.CHEX.GD.ZS	2010	8.56967118
AFG	SH.XPD.CHEX.GD.ZS	2009	9.81848731
BGD	SH.XPD.CHEX.GD.ZS	2018	
BGD	SH.XPD.CHEX.GD.ZS	2017	
BGD	SH.XPD.CHEX.GD.ZS	2016	2.36505997
BGD	SH.XPD.CHEX.GD.ZS	2015	2.46311455
BGD	SH.XPD.CHEX.GD.ZS	2014	2.49601074
BGD	SH.XPD.CHEX.GD.ZS	2013	2.503348
BGD	SH.XPD.CHEX.GD.ZS	2012	2.57301204
BGD	SH.XPD.CHEX.GD.ZS	2011	2.56593651
BGD	SH.XPD.CHEX.GD.ZS	2010	2.49591565
BGD	SH.XPD.CHEX.GD.ZS	2009	2.40338224
BTN	SH.XPD.CHEX.GD.ZS	2018	
BTN	SH.XPD.CHEX.GD.ZS	2017	
